slice,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1300.0,13418382.150776597,12532.216447712854,76.9317337740733,390960404.6260633,3143.891605817189,2.0449162179492073e+38,1.1590450251281778e+37,4.1564818755159643e+33,0.08755210952028462,0.1866376976080305,0.0033886073849941174,3.732762322806658e-05
1301.0,13418456.374462288,12457.99276202172,74.22368569254722,392795751.9770211,3143.4409683189883,2.1124188799111926e+38,1.1986292008096747e+37,4.455770051732765e+33,0.08755465366785074,0.1866379785435437,0.003388617151206099,3.7330343312570616e-05
1302.0,13418529.749095717,12384.618128592148,73.37463342737917,394592694.061558,3142.5329100240574,2.1819029962683373e+38,1.238467725654072e+37,4.759512691390406e+33,0.08755751107553261,0.18663826823699198,0.0033886272422701223,3.733297748905135e-05
1303.0,13418606.792460816,12307.574763493612,77.04336509874813,396476449.47513443,3140.896789612749,2.2577288685951217e+38,1.2810324159498653e+37,5.072605549486689e+33,0.08756093020489146,0.18663858595417915,0.003388638307285519,3.7335697158459726e-05
1304.0,13418687.68799417,12226.679230140522,80.89553335368554,398413778.2166463,3139.8126155710033,2.339651512112707e+38,1.3264066716674672e+37,5.420359471427851e+33,0.08756503142467276,0.1866389347918857,0.003388650423719904,3.733849763289052e-05
1305.0,13418765.816266742,12148.55095756799,78.12827257167324,400262040.24280125,3139.008634230056,2.4209041833811163e+38,1.3709076850004295e+37,5.799354354702114e+33,0.08756951846932985,0.18663928623649856,0.0033886625723862146,3.734116497570808e-05
1306.0,13418843.41819462,12070.949029689655,77.60192787899983,402079662.5049156,3138.0019995714897,2.5031779165929158e+38,1.4157348857694393e+37,6.18129122654936e+33,0.08757454376619836,0.18663964999545063,0.0033886750617000624,3.734375734808207e-05
1307.0,13418924.900218893,11989.46700541675,81.48202427294981,403955559.9288782,3137.1956365767196,2.5900479251952496e+38,1.4633475721212868e+37,6.577731752539526e+33,0.0875805035841337,0.18664004851221383,0.0033886886213093897,3.7346412391901414e-05
1308.0,13419010.45634438,11903.910879930481,85.55612548659731,405894674.28285736,3135.8535337300614,2.682902449293863e+38,1.5139079519379528e+37,7.009261378570704e+33,0.08758758102119853,0.1866404856901915,0.0033887033273698017,3.734912295145829e-05
1309.0,13419093.929690681,11820.437533628196,83.47334630148585,407759019.9641806,3135.214700488825,2.7739414245414933e+38,1.5637937092723373e+37,7.480054031257051e+33,0.08759533126017237,0.18664093049967362,0.0033887180982329263,3.7351682326185674e-05
1310.0,13419181.576704295,11732.790520014241,87.64701361656013,409681921.4751317,3134.272742129267,2.8692497827086075e+38,1.6166479045455686e+37,7.957608184242637e+33,0.08760447175289743,0.18664141832302425,0.0033887340488720566,3.7354319156094e-05
1311.0,13419273.606068594,11640.761155715212,92.02936429738814,411668381.3968124,3133.6102414183215,2.968495505811297e+38,1.6726534816723133e+37,8.476506909446666e+33,0.08761525441365216,0.18664195407801756,0.003388751255148153,3.735697452383717e-05
1312.0,13419362.931187449,11551.43603686057,89.32511885670021,413559427.11124206,3133.0024258987596,3.0631850468711967e+38,1.7274561348288698e+37,9.042232756308235e+33,0.08762691105897262,0.1866424970227334,0.003388768359047997,3.7359492437393664e-05
1313.0,13419456.72256225,11457.644662059844,93.79137479953523,415508400.266833,3132.29593935476,3.1603360326548722e+38,1.7854048610046114e+37,9.609791665712302e+33,0.08764053935309264,0.1866430932612601,0.003388786731784133,3.736204128517422e-05
1314.0,13419555.203505788,11359.163718521595,98.480943539512,417515583.88247687,3131.532797241068,3.2592244106712864e+38,1.8466653763984507e+37,1.0225510200920014e+34,0.08765646074806428,0.18664374922070914,0.0033888064443290357,3.7364603123103445e-05
1315.0,13419650.895594085,11263.471630224958,95.69208829592498,419430761.95900714,3130.881762325001,3.3521220765546243e+38,1.9066452212845962e+37,1.089357983247584e+34,0.08767352489427534,0.18664441602824336,0.0033888259618844764,3.736699886485097e-05
1316.0,13419751.372286795,11162.994937514886,100.47669271072122,421403540.2508238,3130.442113702441,3.4459881662282164e+38,1.9700079449520245e+37,1.1564483136646103e+34,0.0876932650140536,0.18664515002538548,0.003388846818365505,3.736941106781097e-05
