slice,mass (Msun),coupling,age (years),time to solar luminosity (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,avg X_h1,avg X_he3,avg X_he4,avg X_n14,avg X_mg24,avg X_si28,avg X_s32,avg X_ar36,avg X_ca40,avg X_ti44,avg X_cr48,avg X_fe52,avg X_fe54,avg X_ni56,avg X_neut,avg X_prot,max T (K),surface lum_nuc (ergs/s),cumulative e_nuc (ergs),surface R (Rsun)
31.0,10.999991862231223,-10.0,14192.578827986177,17173337.51899483,2373.763137997695,32764222.327092864,27207.593529974874,2.9327771680180334e+37,2.1051052833642376e+36,2.8119980719887436e-33,3.98888675306976e-27,1.352419907754292e+49,9.414550670768487e+47,1.3401094977651255e-21,0.0016245149767921496,0.006537088831529424,0.0013503024188198467,3.700974911464371e-05,0.7176840774369438,1.7558589010137316e-05,0.2681702991367217,0.0016525476454372005,0.0004891806837698981,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32764222.327092864,3.010928339968166e+37,1.3482422405135294e+49,3.9393672313844807
32.0,10.99999029912006,-10.0,17041.094593583413,17170489.00322923,2848.5157655972343,32771969.670744237,27197.672348497188,2.9229042284724366e+37,2.028425854901236e+36,3.0313833067088346e-33,4.3000899737658426e-27,1.6149867129984712e+49,1.1236701705373052e+48,1.6124210646511362e-21,0.0016158797422520393,0.006534186876973084,0.001350302449047766,3.7647223828576205e-05,0.7176639725853597,1.743280917930711e-05,0.26818942559341297,0.0016651612959707948,0.0004891806839821307,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32771969.670744237,2.9002379461953337e+37,1.608772915642227e+49,3.9356005633765085
33.0,10.999988431488356,-10.0,20459.313512300094,17167070.784310516,3418.218918716681,32782871.312771313,27194.92374409165,2.9178837060626436e+37,2.023222477766232e+36,3.333299425966646e-33,4.72836523491991e-27,1.9295256822791637e+49,1.3417673864955264e+48,1.9717405822758604e-21,0.0016071512982067753,0.006530688502128795,0.0013503024872126082,3.839324873308691e-05,0.7176399158213734,1.7302907787344703e-05,0.26821256238290125,0.0016784055586790232,0.0004891806842500684,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32782871.312771313,2.8941208906008494e+37,1.9207503258494612e+49,3.9330140241199723
34.0,10.999986195649852,-10.0,24561.17621476011,17162968.921608057,4101.862702460017,32790954.6678202,27194.28529245781,2.9153674703085875e+37,2.0291003329253302e+36,3.6334855901308936e-33,5.154186513254836e-27,2.3066469543627751e+49,1.6042443834886646e+48,2.4417549875962963e-21,0.0015974491383965765,0.006526480394769517,0.0013503025355185252,3.925985354124926e-05,0.7176109649271952,1.7165615369619345e-05,0.26824052188261427,0.001693406839063623,0.0004891806845891831,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32790954.6678202,2.9028243248569853e+37,2.2962490625179617e+49,3.9315024384531774
35.0,10.999983515987065,-10.0,29483.411457712133,17158046.6863651,4922.23524295202,32795625.721926354,27193.52586899215,2.913823433394071e+37,2.034389531779882e+36,3.914385668381084e-33,5.552650015854609e-27,2.7589528037021567e+49,1.920037809580726e+48,3.049375721951055e-21,0.0015865814139709611,0.006521431870704444,0.001350302596774181,4.025771380152188e-05,0.7175761426961005,1.7020030549294373e-05,0.2682742660974941,0.0017105033094504459,0.0004891806850191926,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32795625.721926354,2.9099293068031437e+37,2.747950435891175e+49,3.9306807315288808
36.0,10.999980302765705,-10.0,35390.093749254556,17152140.00407356,5906.682291542424,32797319.721701454,27191.606336647466,2.9124758203488026e+37,2.0377251197355554e+36,4.174657909960068e-33,5.921852437068195e-27,3.301468798805743e+49,2.2996112513092526e+48,3.827002328982527e-21,0.0015745212427418376,0.006515389873229968,0.0013503026745930028,4.139542047397548e-05,0.7175343054485646,1.6866548938122098e-05,0.26831495259001636,0.0017298602570079236,0.0004891806855654679,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32797319.721701454,2.913937477547242e+37,3.2907386984601154e+49,3.9303265238852383
37.0,10.999976449029548,-10.0,42478.11249910546,17145051.98532371,7088.018749850908,32796495.143494397,27188.379497891558,2.9112347445198483e+37,2.0396081535879908e+36,4.4144381337467886e-33,6.26198643923503e-27,3.9522105780308847e+49,2.7555202917211964e+48,4.813751793566665e-21,0.0015612990275322256,0.006508175222174509,0.0013503027736120842,4.2678175712072056e-05,0.7174840801500921,1.670621620517039e-05,0.2683639805879457,0.0017515989944259973,0.0004891806862605687,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32796495.143494397,2.915799607950136e+37,3.9425008513793186e+49,3.9304218255354884
38.0,10.999971826403062,-10.0,50983.73499892655,17136546.36282389,8505.62249982109,32793517.554376666,27184.083037330576,2.9102603292493686e+37,2.0407639985224687e+36,4.632826415841324e-33,6.571775458704899e-27,4.732839342466614e+49,3.302921176329485e+48,6.0564301630911594e-21,0.0015469891944841908,0.0064995790394436195,0.0013503028997430874,4.410612883679532e-05,0.7174238093347215,1.654044842072721e-05,0.26842304464938854,0.001775815459538233,0.0004891806871460098,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32793517.554376666,2.916659982595272e+37,4.724846216022261e+49,3.931006298775656
39.0,10.999966280281011,-10.0,61190.48199871186,17126339.615824103,10206.746999785308,32788383.613978375,27178.719695336928,2.909609387129168e+37,2.0416349458923736e+36,4.8205109351331434e-33,6.838010453748808e-27,5.669384334557165e+49,3.960082578375677e+48,7.608056094595022e-21,0.0015317051128792291,0.0064893607135315876,0.0013503030604207428,4.5672353280104944e-05,0.7173514952510011,1.6370867552931225e-05,0.26849419017704024,0.0018025879232503822,0.0004891806882740081,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32788383.613978375,2.9172161383865166e+37,5.663839669005075e+49,3.932118085557043
40.0,10.999959624537931,-10.0,73438.57839845422,17114091.51942436,12248.096399742368,32780797.37068469,27172.056331853026,2.9092699150656874e+37,2.0423888238316246e+36,4.960005156367962e-33,7.035886354431708e-27,6.793107201955315e+49,4.7489674506843326e+48,9.523887687861807e-21,0.001515592435346173,0.0064772469877152185,0.0013503032648324773,4.7360845126178824e-05,0.7172647358939174,1.6199229116133806e-05,0.2685798765496649,0.0018319855571282697,0.0004891806897091051,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32780797.37068469,2.917760831738151e+37,6.790842203642284e+49,3.9338173524308773
