mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),lum_a (ergs/s),num_a (/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23,X_h1,log X_h1,X_he3,log X_he3,X_he4,log X_he4,lum_nuc (ergs/s)
0.028339469144010504,2.2188141338435126e+31,0.000956637236751179,10673143.63674616,87858834.46053651,7.943785437596329,10.552703500597017,7.067108653618955e-17,7.023900105703653,2.540207228766694e-19,1.8650163616477307e+32,3.940056922454251e+32,20908230277647.758,2.965882644637001e+19,0.07940037077275151,-1.10017746956051,0.3857317508354773,-0.41371461147072097,0.41637647052767224,-0.38051382048887655,0.05126357836108939,-1.2901910819552302,0.0,-98.99999999999999,2.239771254809879e-43,-42.64979633338304,4.291508334910218e-22,-21.367390039657288,4560485163495332.0
0.03747155412859252,1.8158327923396345e+31,0.0010560589242548054,6916766.799627297,87408313.66743684,7.941552741652483,10.444835266108976,6.220864745334982e-17,7.054694743105897,1.8833469066618858e-19,2.4136227959217563e+32,5.2210715279020236e+32,24328073350115.824,3.45099559208997e+19,0.0793842936711796,-1.100265415037436,0.3857129353159292,-0.41373579633714674,0.41640597629086784,-0.3804830460886847,0.05128135065467946,-1.2900405448357786,0.0,-98.99999999999999,2.6965750836478615e-43,-42.56918748267788,4.55549313826908e-22,-21.34146460318347,5690090183624213.0
0.04693956526968485,1.88262868088271e+31,0.001144779532979802,6172292.748998016,87031107.21561743,7.93967450868117,10.355159949353903,5.561159638103029e-17,7.083210656785438,1.4625242432084115e-19,2.9603944145008825e+32,6.554577081421856e+32,27081463436866.258,3.841570584031727e+19,0.07937070159408237,-1.100339780749022,0.3856968084211755,-0.4137539548358167,0.41643112555558953,-0.3804568172214269,0.051296497473628175,-1.2899122875159839,0.0,-98.99999999999999,3.1871632194768614e-43,-42.49659569507567,4.772140068928195e-22,-21.32128681766937,6737050046990220.0
0.05744592061779234,2.089094067923819e+31,0.0012316936906427347,6046617.948610216,86654471.00822861,7.937790975406643,10.2662372094704,4.950028059488127e-17,7.1138575112839515,1.1336761196347705e-19,3.542398078092732e+32,8.040728834109717e+32,29449819493342.152,4.177527574697368e+19,0.07935699861522816,-1.1004147661247183,0.3856803279277033,-0.413772512262626,0.4164566864056336,-0.3804301607234665,0.05131189095412704,-1.2897819803590245,0.0,-98.99999999999999,3.3547112137359393e-43,-42.47434485960199,4.984311509698885e-22,-21.302394822946876,7771157472503530.0
0.06795227596589867,2.0890940679235875e+31,0.0013099124534870588,5441679.331079632,86283281.08293979,7.935926651603453,10.179256520047067,4.395401445301142e-17,7.145941316287179,8.800975685893187e-20,4.0997612571434745e+32,9.533583195468278e+32,31288426103076.07,4.438338334943988e+19,0.07934336291635533,-1.1004893961852271,0.38566368777683546,-0.41379125027200686,0.4164823454222189,-0.3804034034966065,0.051327342435789056,-1.2896512215243743,0.0,-98.99999999999999,3.710442868311031e-43,-42.43057425108982,5.189189721895068e-22,-21.28490045078014,8689398181055668.0
0.07661726868606047,1.722955705429645e+31,0.0013694516389347183,4142141.1315936744,85962541.31065454,7.93430924605719,10.104654022983794,3.9541159314329125e-17,7.175170455055495,7.059174096446559e-20,4.541709473160462e+32,1.0769833282765088e+33,32504690531585.445,4.6108683631626715e+19,0.07933146951705113,-1.100554500872837,0.38564896585749076,-0.4138078288884864,0.4165049192327688,-0.38037986488617215,0.051340935268834556,-1.2895362241259263,0.0,-98.99999999999999,4.158677243623839e-43,-42.381044784071804,5.362910676248326e-22,-21.270599436513624,9370674841454928.0
0.08497176775341875,1.661216841027286e+31,0.0014234532434521982,3756891.6262810677,85688669.15457009,7.932923397781019,10.041364881320954,3.604460483061084e-17,7.20180645554114,5.839901810579461e-20,4.95300517313214e+32,1.1966209499741484e+33,33474824855353.48,4.748484245311544e+19,0.07932122788798977,-1.1006105715614036,0.38563614105928606,-0.4138222716387544,0.41652449511122136,-0.3803594533716553,0.0513527224554586,-1.2894365274115642,0.0,-98.99999999999999,4.56456423133164e-43,-42.34060067726692,5.5092777909959075e-22,-21.258905328905488,9969453887182770.0
0.09820838733374222,2.631982502819029e+31,0.0015034943553155916,5568460.1523362845,85352677.64854342,7.931217150169509,9.964266438216015,3.2082145636119325e-17,7.237318798824502,4.620171490289871e-20,5.575223730636157e+32,1.3871059144324415e+33,34690845907600.105,4.920979750023253e+19,0.07930856253343131,-1.1006799216323222,0.3856201047167376,-0.4138403317714739,0.4165488678590492,-0.3803340415643308,0.05136739755986828,-1.28931243649522,0.0,-98.99999999999999,5.179925094951122e-43,-42.28567652038693,5.686611798822577e-22,-21.24514641820179,1.081385034685435e+16
0.1062345334606543,1.595926818241691e+31,0.0015492843301388457,3185608.548453793,85037101.25953755,7.929608447558939,9.892523811545725,2.8688514259411675e-17,7.27106325456161,3.7013673153674393e-20,5.935798826019491e+32,1.5031467628833074e+33,35281557043875.92,5.0047735424107045e+19,0.07929654656442169,-1.100745726183957,0.385604622476352,-0.4138577685867906,0.41657224034388396,-0.3803096740597872,0.05138146995591054,-1.2891934753011107,0.0,-98.99999999999999,5.6466251542375916e-43,-42.24821104152635,5.849822643763876e-22,-21.232857300755818,1.1271698039675392e+16
0.1138731547061152,1.5188709882998262e+31,0.0015912449963755234,2919203.550085664,84810560.92261165,7.928449935568449,9.84139734445427,2.6432235945981737e-17,7.29718653341413,3.153506750452889e-20,6.267304734361464e+32,1.6139816121014563e+33,35760534035342.98,5.072717578195086e+19,0.0792878564119392,-1.1007933233650542,0.38559330647116624,-0.4138705136381587,0.4165892544094222,-0.38029193652672655,0.051391713897036374,-1.2891068984928067,0.0,-98.99999999999999,6.069069064252509e-43,-42.216877920335676,5.9658582731421e-22,-21.224327068091526,1.1673169603017866e+16
