slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,surface lum_nuc_neu (ergs/s),surface lum_non_nuc_neu (ergs/s),surface lum_plas_neu (ergs/s),surface lum_brem_neu (ergs/s),surface lum_phot_neu (ergs/s),surface lum_pair_neu (ergs/s),surface lum_reco_neu (ergs/s),surface lum_nuc_gamma (ergs/s),surface lum_grav_gamma (ergs/s),MESA surface lum_gamma (ergs/s)
143.0,11.0,-10.0,9716.373683625963,23893253.4301443,370.8163867598245,1525862.8894463403,4424.55262311392,0.0,6.883354577293427e+21,0.0,0.0,0.0,3.09244210039765e+32,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315215e-99,6.883354577293427e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.5615076353005087e+26,0.0,7.2317059425124e+36
144.0,11.0,-10.0,10071.542510163026,23892898.261317763,355.16882653706153,1561267.390293893,4435.548485668629,0.0,9.15532528998631e+21,0.0,0.0,0.0,4.1178938414479804e+32,0.0,0.0024889953125840658,0.006083494621983942,0.0012321516160785184,1.1971608418315215e-99,9.15532528998631e+21,0.0,0.0,0.0,0.0,0.0,0.0,2.14216710073755e+26,0.0,7.540054911096681e+36
145.0,11.0,-10.0,10419.614031176112,23892550.18979675,348.0715210130862,1597392.5347079837,4446.285378740674,0.0,1.2138829637814585e+22,0.0,0.0,0.0,5.4503468886064564e+32,0.0,0.0024889953125840658,0.006083494621983942,0.0012321516160785184,1.1971608418315219e-99,1.2138829637814585e+22,0.0,0.0,0.0,0.0,0.0,0.0,2.947669444760273e+26,0.0,7.888238290038748e+36
146.0,11.0,-10.0,10764.290798572367,23892205.513029356,344.67676739625546,1634728.9676918124,4459.557976660212,0.0,1.6100628633565882e+22,0.0,0.0,0.0,7.200441191749923e+32,0.0,0.002488995312584066,0.006083494621983942,0.0012321516160785182,1.1971608418315217e-99,1.6100628633565882e+22,0.0,0.0,0.0,0.0,0.0,0.0,4.0849847329934896e+26,0.0,8.288953595091101e+36
147.0,11.0,-10.0,11107.111311395234,23891862.69251653,342.82051282286665,1673510.3646078352,4474.324039978534,0.0,2.1391209633419127e+22,0.0,0.0,0.0,9.513085014889748e+32,0.0,0.002488995312584066,0.006083494621983941,0.0012321516160785184,1.1971608418315215e-99,2.1391209633419127e+22,0.0,0.0,0.0,0.0,0.0,0.0,5.708322308867078e+26,0.0,8.724136180583662e+36
148.0,11.0,-10.0,11448.636014594433,23891521.16781333,341.52470319919865,1713830.8667851784,4490.886249596472,0.0,2.847314584017429e+22,0.0,0.0,0.0,1.2579734801552447e+33,0.0,0.0024889953125840666,0.006083494621983941,0.0012321516160785184,1.1971608418315215e-99,2.847314584017429e+22,0.0,0.0,0.0,0.0,0.0,0.0,8.040610266988454e+26,0.0,9.179702658282111e+36
149.0,11.0,-10.0,11789.087176673565,23891180.716651253,340.4511620791323,1755685.0486557789,4507.49484037003,0.0,3.795143306162027e+22,0.0,0.0,0.0,1.6654378209813334e+33,0.0,0.0024889953125840658,0.006083494621983942,0.0012321516160785184,1.1971608418315215e-99,3.795143306162027e+22,0.0,0.0,0.0,0.0,0.0,0.0,1.1399802457855099e+27,0.0,9.632225097908203e+36
150.0,11.0,-10.0,12128.65175119608,23890841.15207673,339.5645745225152,1799071.5723548243,4529.012384730822,0.0,5.06333996488189e+22,0.0,0.0,0.0,2.2076460075623945e+33,0.0,0.0024889953125840666,0.006083494621983942,0.0012321516160785184,1.1971608418315217e-99,5.06333996488189e+22,0.0,0.0,0.0,0.0,0.0,0.0,1.6248101616771084e+27,0.0,1.0086170905901183e+37
151.0,11.0,-10.0,12467.558519376367,23890502.245308552,338.9067681802877,1843927.7856896212,4552.737333717556,0.0,6.756773459558565e+22,0.0,0.0,0.0,2.929793998213917e+33,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315213e-99,6.756773459558565e+22,0.0,0.0,0.0,0.0,0.0,0.0,2.323729262947171e+27,0.0,1.0513675853463387e+37
152.0,11.0,-10.0,12806.1136209721,23890163.690206956,338.55510159573186,1890239.1639318608,4581.78376926064,0.0,9.015073367270381e+22,0.0,0.0,0.0,3.892303964003625e+33,0.0,0.0024889953125840658,0.006083494621983941,0.001232151616078518,1.1971608418315215e-99,9.015073367270381e+22,0.0,0.0,0.0,0.0,0.0,0.0,3.330903320480279e+27,0.0,1.092967051346952e+37
