slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),max T (K),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
58.0,8.999361286109337,-10.0,1956460.9150405098,22943697.528473653,326085.15250675153,30991592.840756115,24114.593915789083,1.5938901375247284e+37,6.752823168022388e+28,6.795655442863482e-37,9.639800341432477e-31,9.703104178922598e+50,4.4872478320682436e+42,1.5282495072035701e-22,30991592.840756115,0.00128363364506604,0.005834089985502616,0.0013503204065314614,6.202149291227628e-05
59.0,8.999227785434417,-10.0,2347763.0980486115,22552395.345465552,391302.1830081018,30960878.63888899,24052.970343617355,1.6050179423329454e+37,6.630051754309835e+28,5.730268734686613e-37,8.128523726602594e-31,1.1683713275707634e+51,5.3054032227584263e+42,1.5989616287543512e-22,30960878.63888899,0.0012708771758940848,0.0057561411717253295,0.0013503234075765505,6.217980447284999e-05
60.0,8.999065033658221,-10.0,2817325.7176583335,22082832.72585583,469562.6196097222,30941205.625413567,23984.670301907136,1.6189120945180317e+37,6.512197909200003e+28,5.117700128515319e-37,7.259580457102064e-31,1.4081018828544315e+51,6.269737744797091e+42,1.6747451810385492e-22,30941205.625413567,0.0012586713424150736,0.005676163641764276,0.0013503268588586637,6.234901537954064e-05
61.0,8.998866022321641,-10.0,3380800.86119,21519357.582324166,563475.1435316666,30937012.11600611,23908.323166349976,1.6362541625578416e+37,6.402144605724175e+28,4.956915877542666e-37,7.031504138275333e-31,1.6988601916991017e+51,7.407382972008903e+42,1.7628283474939714e-22,30937012.11600611,0.0012471124549421956,0.005595531585126904,0.0013503308503604746,6.252967887890062e-05
62.0,8.998623228608976,-10.0,4052919.240327273,20847239.203186892,672118.3791372728,30953691.730329894,23822.21087994473,1.6578072883166107e+37,6.303195008518834e+28,5.3574956332682405e-37,7.599736135686197e-31,2.050247784564993e+51,8.743403471506633e+42,1.876385424220016e-22,30953691.730329894,0.0012363082113487987,0.0055162594360661475,0.001350335476809438,6.271978560739432e-05
63.0,8.998420249808786,-10.0,4599849.118221744,20300309.32529242,546929.8778944705,30979709.449618377,23754.449678409273,1.6759469948140484e+37,6.240707321501292e+28,6.098378587221925e-37,8.650696387060394e-31,2.3393147975875208e+51,9.819799461449236e+42,1.9815701399624358e-22,30979709.449618377,0.0012289974526681303,0.005460845852291186,0.0013503391866741003,6.286033496839927e-05
64.0,8.998236214780732,-10.0,5084881.132390228,19815277.311123937,485032.0141684852,31011706.1510956,23693.594530126633,1.6925117785721847e+37,6.193378065427757e+28,7.167679916230682e-37,1.0167525985491211e-30,2.5982008846943248e+51,1.0767136687476887e+43,2.091206754055154e-22,31011706.1510956,0.0012232866779839867,0.005417938912212949,0.0013503424503755975,6.297488000804245e-05
65.0,8.99806303461759,-10.0,5532301.828312542,19367856.615201622,447420.69592231326,31047994.60681895,23637.736551813694,1.708155462085728e+37,6.157614591140613e+28,8.619959900150515e-37,1.2227619997401109e-30,2.8392192130331547e+51,1.16359674281516e+43,2.2128331734060733e-22,31047994.60681895,0.0012187577701295528,0.00538294573702937,0.0013503454514430374,6.307278419876336e-05
66.0,8.99789702186123,-10.0,5953310.860596305,18946847.58291786,421009.03228376195,31087705.050283648,23584.96530923496,1.7232171039697934e+37,6.129777633236575e+28,1.0554255991199983e-36,1.4971465425660964e-30,3.0680097285081856e+51,1.244981437826874e+43,2.3529614058336227e-22,31087705.050283648,0.0012149692889828173,0.0053535888334379144,0.0013503482761553726,6.315859774341102e-05
67.0,8.99773516606134,-10.0,6356584.54878626,18543573.894727904,403273.688189956,31130603.62734038,23533.913205096593,1.7379571531480486e+37,6.107663940802221e+28,1.3136292261017708e-36,1.8634145843267884e-30,3.2890368457548005e+51,1.3226565031471762e+43,2.5200240290117916e-22,31130603.62734038,0.0012117111002198308,0.005328382224373047,0.0013503509899221002,6.323541047575747e-05
